player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Mohammed Abdellaoue,2010-2011,Hannover 96,26,26,2086,23.2,10,1,11,10,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.43,0.04,0.47,0.43,0.47,0.0,0.0,0.0,0.0,0.0
Yacine Abdessadki,2010-2011,Freiburg,21,20,1753,19.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathias Abel,2010-2011,Kaiserslautern,19,19,1663,18.5,2,0,2,2,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0
René Adler,2010-2011,Leverkusen,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Alaba,2010-2011,Hoffenheim,17,17,1530,17.0,2,1,3,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.12,0.06,0.18,0.12,0.18,0.0,0.0,0.0,0.0,0.0
David Alaba,2010-2011,Bayern Munich,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sami Allagui,2010-2011,Mainz 05,28,18,1568,17.4,10,3,13,10,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.57,0.17,0.75,0.57,0.75,0.0,0.0,0.0,0.0,0.0
Hugo Almeida,2010-2011,Werder Bremen,13,7,702,7.8,9,0,9,9,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1.15,0.0,1.15,1.15,1.15,0.0,0.0,0.0,0.0,0.0
Halil Altıntop,2010-2011,Eint Frankfurt,34,26,2370,26.3,0,2,2,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Hamit Altıntop,2010-2011,Bayern Munich,14,8,731,8.1,2,3,5,2,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.25,0.37,0.62,0.25,0.62,0.0,0.0,0.0,0.0,0.0
Caio Alves,2010-2011,Eint Frankfurt,27,12,1291,14.3,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.07,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
Ioannis Amanatidis,2010-2011,Eint Frankfurt,19,6,631,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Amedick,2010-2011,Kaiserslautern,26,23,2124,23.6,2,0,2,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0
Chadli Amri,2010-2011,Kaiserslautern,6,1,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrezinho,2010-2011,Köln,8,6,555,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Annan,2010-2011,Schalke 04,9,8,693,7.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Aogo,2010-2011,Hamburger SV,20,20,1785,19.8,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Juan Arango,2010-2011,M'Gladbach,25,24,1998,22.2,4,6,10,4,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.18,0.27,0.45,0.18,0.45,0.0,0.0,0.0,0.0,0.0
Marko Arnautović,2010-2011,Werder Bremen,25,15,1551,17.2,3,3,6,3,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.17,0.17,0.35,0.17,0.35,0.0,0.0,0.0,0.0,0.0
Gerald Asamoah,2010-2011,St. Pauli,27,21,1894,21.0,6,5,11,6,0,0,5,1,0.0,0.0,0.0,0.0,0,0,0.29,0.24,0.52,0.29,0.52,0.0,0.0,0.0,0.0,0.0
Johan Audel,2010-2011,Stuttgart,3,0,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renato Augusto,2010-2011,Leverkusen,27,26,2208,24.5,6,3,9,6,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.24,0.12,0.37,0.24,0.37,0.0,0.0,0.0,0.0,0.0
Denni Avdić,2010-2011,Werder Bremen,7,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilo Avelar,2010-2011,Schalke 04,3,2,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Avevor,2010-2011,Hannover 96,5,3,282,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onur Ayık,2010-2011,Werder Bremen,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demba Ba,2010-2011,Hoffenheim,17,15,1274,14.2,6,1,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.42,0.07,0.49,0.42,0.49,0.0,0.0,0.0,0.0,0.0
Haruna Babangida,2010-2011,Mainz 05,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Babel,2010-2011,Hoffenheim,15,15,1292,14.4,1,0,1,1,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.07,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
Holger Badstuber,2010-2011,Bayern Munich,23,21,1845,20.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamadou Bah,2010-2011,Stuttgart,2,2,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Bailly,2010-2011,M'Gladbach,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanno Balitsch,2010-2011,Leverkusen,24,9,908,10.1,3,0,3,3,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
Michael Ballack,2010-2011,Leverkusen,17,13,1175,13.1,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Leon Balogun,2010-2011,Werder Bremen,3,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Bamba,2010-2011,M'Gladbach,13,11,1036,11.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivica Banović,2010-2011,Freiburg,2,1,101,1.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philipp Bargfrede,2010-2011,Werder Bremen,28,23,1928,21.4,0,1,1,0,0,0,8,1,0.0,0.0,0.0,0.0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Tranquillo Barnetta,2010-2011,Leverkusen,24,19,1505,16.7,2,2,4,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.12,0.12,0.24,0.12,0.24,0.0,0.0,0.0,0.0,0.0
Lucas Barrios,2010-2011,Dortmund,32,29,2468,27.4,16,2,18,16,0,1,3,0,0.0,0.0,0.0,0.0,0,0,0.58,0.07,0.66,0.58,0.66,0.0,0.0,0.0,0.0,0.0
Fin Bartels,2010-2011,St. Pauli,31,23,2183,24.3,2,2,4,2,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.08,0.08,0.16,0.08,0.16,0.0,0.0,0.0,0.0,0.0
Oliver Barth,2010-2011,Freiburg,29,28,2465,27.4,1,0,1,1,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0
Andrea Barzagli,2010-2011,Wolfsburg,17,17,1485,16.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felix Bastians,2010-2011,Freiburg,29,29,2610,29.0,0,3,3,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Oliver Baumann,2010-2011,Freiburg,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Baumjohann,2010-2011,Schalke 04,9,3,367,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaMarcus Beasley,2010-2011,Hannover 96,4,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Beck,2010-2011,Hoffenheim,33,33,2958,32.9,0,4,4,0,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0
Shqipon Bektasi,2010-2011,Freiburg,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nassim Ben Khalifa,2010-2011,Nürnberg,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Änis Ben-Hatira,2010-2011,Hamburger SV,18,12,1044,11.6,3,1,4,3,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0.26,0.09,0.34,0.26,0.34,0.0,0.0,0.0,0.0,0.0
Diego Benaglio,2010-2011,Wolfsburg,28,28,2497,27.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lars Bender,2010-2011,Leverkusen,27,10,1214,13.5,3,0,3,3,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.22,0.0,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0
Sven Bender,2010-2011,Dortmund,31,29,2439,27.1,1,2,3,1,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.04,0.07,0.11,0.04,0.11,0.0,0.0,0.0,0.0,0.0
Collin Benjamin,2010-2011,Hamburger SV,8,3,346,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
