player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Sergio Abad Beyxer,2010-2011,Levante,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damià Abella,2010-2011,Osasuna,27,22,1934,21.5,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Éric Abidal,2010-2011,Barcelona,26,23,2023,22.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Acasiete,2010-2011,Almería,20,17,1598,17.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lautaro Acosta,2010-2011,Sevilla,10,2,283,3.1,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.32,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0
Antonio Adán,2010-2011,Real Madrid,3,2,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Adebayor,2010-2011,Real Madrid,14,6,744,8.3,5,0,5,5,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.6,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0
Adriano,2010-2011,Barcelona,14,11,937,10.4,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Aritz Aduriz,2010-2011,Valencia,29,20,1846,20.5,10,2,12,10,0,0,6,1,0.0,0.0,0.0,0.0,0,0,0.49,0.1,0.59,0.49,0.59,0.0,0.0,0.0,0.0,0.0
Ibrahim Afellay,2010-2011,Barcelona,16,7,669,7.4,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.13,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0
Sendoa Agirre,2010-2011,Hércules,23,7,793,8.8,3,1,4,3,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.34,0.11,0.45,0.34,0.45,0.0,0.0,0.0,0.0,0.0
Imanol Agirretxe,2010-2011,Real Sociedad,11,1,214,2.4,3,0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.26,0.0,1.26,1.26,1.26,0.0,0.0,0.0,0.0,0.0
Sergio Agüero,2010-2011,Atlético Madrid,32,31,2662,29.6,20,3,23,19,1,1,6,0,0.0,0.0,0.0,0.0,0,0,0.68,0.1,0.78,0.64,0.74,0.0,0.0,0.0,0.0,0.0
Abel Aguilar,2010-2011,Hércules,34,33,2862,31.8,0,1,1,0,0,0,11,1,0.0,0.0,0.0,0.0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Jordi Alba,2010-2011,Valencia,27,14,1428,15.9,2,1,3,2,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.13,0.06,0.19,0.13,0.19,0.0,0.0,0.0,0.0,0.0
Unai Alba,2010-2011,Hércules,2,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Albelda,2010-2011,Valencia,16,12,1044,11.6,0,1,1,0,0,0,8,1,0.0,0.0,0.0,0.0,0,0,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0
Luis Alberto,2010-2011,Sevilla,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
