player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Loïc Abenzoar,2010-2011,Arles-Avignon,12,10,732,8.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincent Aboubakar,2010-2011,Valenciennes,17,4,518,5.8,1,1,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.17,0.17,0.35,0.17,0.35,0.0,0.0,0.0,0.0,0.0
Fabrice Abriel,2010-2011,Marseille,22,4,592,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adeílson,2010-2011,Nice,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriano,2010-2011,Monaco,32,32,2737,30.4,4,1,5,4,0,0,11,1,0.0,0.0,0.0,0.0,0,0,0.13,0.03,0.16,0.13,0.16,0.0,0.0,0.0,0.0,0.0
Ali Ahamada,2010-2011,Toulouse,9,8,726,8.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karim Aït-Fana,2010-2011,Montpellier,19,9,990,11.0,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0
Kanga Akalé,2010-2011,Lens,30,21,1792,19.9,3,3,6,3,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.15,0.15,0.3,0.15,0.3,0.0,0.0,0.0,0.0,0.0
Rachid Aliaoui,2010-2011,Arles-Avignon,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Alo'o,2010-2011,Nancy,8,3,207,2.3,2,0,2,2,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.87,0.0,0.87,0.87,0.87,0.0,0.0,0.0,0.0,0.0
Alejandro Alonso,2010-2011,Saint-Étienne,14,11,873,9.7,1,1,2,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0,0.1,0.1,0.21,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Alejandro Alonso,2010-2011,Monaco,4,3,229,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Amalfitano,2010-2011,Lorient,38,38,3414,37.9,5,11,16,4,1,1,10,0,0.0,0.0,0.0,0.0,0,0,0.13,0.29,0.42,0.11,0.4,0.0,0.0,0.0,0.0,0.0
André,2010-2011,Bordeaux,8,1,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoann Andreu,2010-2011,Saint-Étienne,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Angoua,2010-2011,Valenciennes,31,30,2712,30.1,1,0,1,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0
Kévin Anin,2010-2011,Sochaux,24,23,1868,20.8,0,0,0,0,0,0,7,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youssef El-Arabi,2010-2011,Caen,38,36,3263,36.3,17,5,22,16,1,1,4,0,0.0,0.0,0.0,0.0,0,0,0.47,0.14,0.61,0.44,0.58,0.0,0.0,0.0,0.0,0.0
Romain Armand,2010-2011,Montpellier,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sylvain Armand,2010-2011,Paris S-G,33,31,2803,31.1,2,1,3,2,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.06,0.03,0.1,0.06,0.1,0.0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,2010-2011,Saint-Étienne,14,8,776,8.6,2,0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.23,0.0,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,2010-2011,Monaco,19,17,1437,16.0,2,2,4,2,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.13,0.13,0.25,0.13,0.25,0.0,0.0,0.0,0.0,0.0
Fabien Audard,2010-2011,Lorient,29,29,2531,28.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serge Aurier,2010-2011,Lens,27,24,2011,22.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathias Autret,2010-2011,Lorient,7,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.02,1.02,0.0,1.02,0.0,0.0,0.0,0.0,0.0
Thomas Ayasse,2010-2011,Arles-Avignon,23,19,1683,18.7,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0
André Ayew,2010-2011,Marseille,37,32,2786,31.0,10,2,12,10,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.32,0.06,0.39,0.32,0.39,0.0,0.0,0.0,0.0,0.0
