player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Patrick van Aanholt,2015-2016,Sunderland,33,33,2970,33.0,4,3,7,4,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.12,0.09,0.21,0.12,0.21,0.0,0.0,0.0,0.0,0.0
Rolando Aarons,2015-2016,Newcastle Utd,10,3,381,4.2,1,1,2,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.24,0.24,0.47,0.24,0.47,0.0,0.0,0.0,0.0,0.0
Almen Abdi,2015-2016,Watford,32,25,1974,21.9,2,0,2,2,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0
Tammy Abraham,2015-2016,Chelsea,2,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Adam,2015-2016,Stoke City,22,12,1044,11.6,1,1,2,1,0,0,6,1,0.0,0.0,0.0,0.0,0,0,0.09,0.09,0.17,0.09,0.17,0.0,0.0,0.0,0.0,0.0
Emmanuel Adebayor,2015-2016,Crystal Palace,12,7,619,6.9,1,1,2,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.15,0.15,0.29,0.15,0.29,0.0,0.0,0.0,0.0,0.0
Adrián,2015-2016,West Ham,32,32,2880,32.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Afellay,2015-2016,Stoke City,31,24,2102,23.4,2,2,4,2,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.09,0.09,0.17,0.09,0.17,0.0,0.0,0.0,0.0,0.0
Benik Afobe,2015-2016,Bournemouth,15,12,930,10.3,4,0,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.39,0.0,0.39,0.39,0.39,0.0,0.0,0.0,0.0,0.0
Gabriel Agbonlahor,2015-2016,Aston Villa,15,13,1031,11.5,1,2,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.09,0.17,0.26,0.09,0.26,0.0,0.0,0.0,0.0,0.0
